Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
3/3/23,2.46566E+13,6.80359E+12,3.14602E+13,1,2023,2,2023,1,3,3
3/2/23,2.46384E+13,6.82227E+12,3.14607E+13,1,2023,2,2023,1,3,2
3/1/23,2.46511E+13,6.80796E+12,3.14591E+13,1,2023,2,2023,1,3,1
2/28/23,2.46092E+13,6.85005E+12,3.14593E+13,1,2023,2,2023,1,2,28
2/27/23,2.46139E+13,6.84248E+12,3.14564E+13,1,2023,2,2023,1,2,27
2/24/23,2.46147E+13,6.84311E+12,3.14579E+13,1,2023,2,2023,1,2,24
2/23/23,2.46221E+13,6.83628E+12,3.14583E+13,1,2023,2,2023,1,2,23
2/22/23,2.46173E+13,6.83757E+12,3.14549E+13,1,2023,2,2023,1,2,22
2/21/23,2.4617E+13,6.83837E+12,3.14554E+13,1,2023,2,2023,1,2,21
2/17/23,2.46228E+13,6.83325E+12,3.14561E+13,1,2023,2,2023,1,2,17
2/16/23,2.46291E+13,6.8275E+12,3.14566E+13,1,2023,2,2023,1,2,16
2/15/23,2.46327E+13,6.82218E+12,3.14549E+13,1,2023,2,2023,1,2,15
2/14/23,2.46208E+13,6.83429E+12,3.14551E+13,1,2023,2,2023,1,2,14
2/13/23,2.46284E+13,6.82595E+12,3.14543E+13,1,2023,2,2023,1,2,13
2/10/23,2.4632E+13,6.82377E+12,3.14557E+13,1,2023,2,2023,1,2,10
2/9/23,2.46327E+13,6.82351E+12,3.14562E+13,1,2023,2,2023,1,2,9
2/8/23,2.4634E+13,6.82067E+12,3.14546E+13,1,2023,2,2023,1,2,8
2/7/23,2.46158E+13,6.83935E+12,3.14551E+13,1,2023,2,2023,1,2,7
2/6/23,2.46257E+13,6.82864E+12,3.14543E+13,1,2023,2,2023,1,2,6
2/3/23,2.46325E+13,6.82316E+12,3.14557E+13,1,2023,2,2023,1,2,3
2/2/23,2.46141E+13,6.84205E+12,3.14562E+13,1,2023,2,2023,1,2,2
2/1/23,2.46279E+13,6.82666E+12,3.14545E+13,1,2023,2,2023,1,2,1
1/31/23,2.4584E+13,6.87099E+12,3.1455E+13,1,2023,2,2023,1,1,31
1/30/23,2.45915E+13,6.86445E+12,3.14559E+13,1,2023,2,2023,1,1,30
1/27/23,2.45945E+13,6.86274E+12,3.14572E+13,1,2023,2,2023,1,1,27
1/26/23,2.45954E+13,6.86233E+12,3.14577E+13,1,2023,2,2023,1,1,26
1/25/23,2.46017E+13,6.85268E+12,3.14544E+13,1,2023,2,2023,1,1,25
1/24/23,2.4588E+13,6.86682E+12,3.14548E+13,1,2023,2,2023,1,1,24
1/23/23,2.45971E+13,6.85663E+12,3.14537E+13,1,2023,2,2023,1,1,23
1/20/23,2.45977E+13,6.85727E+12,3.1455E+13,1,2023,2,2023,1,1,20
1/19/23,2.45977E+13,6.85768E+12,3.14554E+13,1,2023,2,2023,1,1,19
1/18/23,2.45293E+13,6.8851E+12,3.14144E+13,1,2023,2,2023,1,1,18
1/17/23,2.45291E+13,6.88737E+12,3.14164E+13,1,2023,2,2023,1,1,17
1/13/23,2.4509E+13,6.87544E+12,3.13845E+13,1,2023,2,2023,1,1,13
1/12/23,2.4509E+13,6.87522E+12,3.13842E+13,1,2023,2,2023,1,1,12
1/11/23,2.45039E+13,6.87121E+12,3.13751E+13,1,2023,2,2023,1,1,11
1/10/23,2.45038E+13,6.89132E+12,3.13951E+13,1,2023,2,2023,1,1,10
1/9/23,2.45105E+13,6.87839E+12,3.13889E+13,1,2023,2,2023,1,1,9
1/6/23,2.45107E+13,6.87475E+12,3.13854E+13,1,2023,2,2023,1,1,6
1/5/23,2.45103E+13,6.87001E+12,3.13803E+13,1,2023,2,2023,1,1,5
1/4/23,2.45078E+13,6.86774E+12,3.13755E+13,1,2023,2,2023,1,1,4
1/3/23,2.45076E+13,6.84363E+12,3.13512E+13,1,2023,2,2023,1,1,3
12/30/22,2.45176E+13,6.9021E+12,3.14197E+13,1,2023,1,2022,4,12,30
12/29/22,2.44762E+13,6.85012E+12,3.13263E+13,1,2023,1,2022,4,12,29
12/28/22,2.4475E+13,6.84944E+12,3.13244E+13,1,2023,1,2022,4,12,28
12/27/22,2.44739E+13,6.86212E+12,3.1336E+13,1,2023,1,2022,4,12,27
12/23/22,2.44902E+13,6.8558E+12,3.1346E+13,1,2023,1,2022,4,12,23
12/22/22,2.44898E+13,6.83767E+12,3.13275E+13,1,2023,1,2022,4,12,22
12/21/22,2.44868E+13,6.83277E+12,3.13195E+13,1,2023,1,2022,4,12,21
12/20/22,2.44861E+13,6.85067E+12,3.13367E+13,1,2023,1,2022,4,12,20
12/19/22,2.45133E+13,6.84197E+12,3.13553E+13,1,2023,1,2022,4,12,19
12/16/22,2.45134E+13,6.83377E+12,3.13471E+13,1,2023,1,2022,4,12,16
12/15/22,2.45126E+13,6.80701E+12,3.13196E+13,1,2023,1,2022,4,12,15
12/14/22,2.4461E+13,6.82336E+12,3.12843E+13,1,2023,1,2022,4,12,14
12/13/22,2.44622E+13,6.8419E+12,3.13041E+13,1,2023,1,2022,4,12,13
12/12/22,2.44842E+13,6.83352E+12,3.13177E+13,1,2023,1,2022,4,12,12
