Date,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
19-Jul,3.7,3.3,3.3,12.7,3.3,5.8,2.7,4.4
19-Aug,3.7,3.4,3.3,12.6,3.4,5.3,2.7,4.2
19-Sep,3.5,3.3,3.1,12.1,3.2,5.4,2.5,4
19-Oct,3.6,3.4,3.2,12.2,3.3,5.6,2.8,4.2
19-Nov,3.6,3.2,3.3,12,3.2,5.6,2.6,4.3
19-Dec,3.6,3.2,3.3,12.6,3.2,6,2.6,4.2
20-Jan,3.5,3.2,3.2,12.3,3.1,6.3,3,4.3
20-Feb,3.5,3.2,3.1,11.4,3,6,2.6,4.4
20-Mar,4.4,4.1,4,14.1,3.9,6.8,4.2,6
20-Apr,14.7,13,15.5,32.7,14.1,16.6,14.5,18.8
20-May,13.2,11.6,13.8,30.4,12.3,16.8,14.9,17.6
20-Jun,11,10.1,11.2,22.4,10,15.4,13.7,14.5
20-Jul,10.2,9.3,10.5,19.2,9.2,14.4,11.9,12.8
20-Aug,8.4,7.9,8.3,16.6,7.4,12.8,10.6,10.6
20-Sep,7.9,7.4,7.8,16,7,12.1,8.9,10.4
20-Oct,6.9,6.7,6.5,13.8,6,10.9,7.5,8.9
20-Nov,6.7,6.6,6.2,13.8,5.9,10.4,6.7,8.6
20-Dec,6.7,6.4,6.3,15.8,6.1,10,6,9.3
21-Jan,6.3,6.1,6,14.7,5.7,9.2,6.6,8.5
21-Feb,6.2,6,5.9,14,5.6,9.8,5.2,8.4
21-Mar,6.1,5.9,5.7,12.8,5.4,9.6,6,7.7
21-Apr,6.1,6,5.6,11.7,5.3,9.9,5.7,7.7
21-May,5.8,5.9,5.3,9.7,5.1,9.1,5.6,7.1
21-Jun,5.9,5.9,5.5,11.2,5.2,9.2,5.7,7.2
21-Jul,5.4,5.4,5,10.6,4.8,8.2,5.2,6.4
21-Aug,5.2,5.1,4.8,11.4,4.5,8.6,4.5,6.1
21-Sep,4.8,4.7,4.3,11.2,4.2,7.8,4.2,6.2
21-Oct,4.5,4.3,4.3,11.6,4,7.7,4.2,5.7
21-Nov,4.2,3.9,3.9,10.9,3.7,6.5,3.8,5.2
21-Dec,3.9,3.6,3.6,11,3.3,7,3.8,4.8
22-Jan,4,3.8,3.6,10.9,3.4,6.9,3.5,4.9
22-Feb,3.8,3.5,3.6,10.3,3.3,6.6,3,4.5
22-Mar,3.6,3.4,3.3,10.1,3.2,6.2,2.8,4.2
22-Apr,3.6,3.5,3.2,10.2,3.2,5.9,3.1,4.2
22-May,3.6,3.4,3.4,10.5,3.2,6.2,2.4,4.4
22-Jun,3.6,3.4,3.3,11,3.3,5.9,3,4.3
22-Jul,3.5,3.2,3.1,11.4,3.1,6,2.6,4
