DATE,FEDFUNDS,Monthly Change
1/1/2019,2.40,0.13
2/1/2019,2.40,0.00
3/1/2019,2.41,0.01
4/1/2019,2.42,0.01
5/1/2019,2.39,-0.03
6/1/2019,2.38,-0.01
7/1/2019,2.40,0.02
8/1/2019,2.13,-0.27
9/1/2019,2.04,-0.09
10/1/2019,1.83,-0.21
11/1/2019,1.55,-0.28
12/1/2019,1.55,0.00
1/1/2020,1.55,0.00
2/1/2020,1.58,0.03
3/1/2020,0.65,-0.93
4/1/2020,0.05,-0.60
5/1/2020,0.05,0.00
6/1/2020,0.08,0.03
7/1/2020,0.09,0.01
8/1/2020,0.10,0.01
9/1/2020,0.09,-0.01
10/1/2020,0.09,0.00
11/1/2020,0.09,0.00
12/1/2020,0.09,0.00
1/1/2021,0.09,0.00
2/1/2021,0.08,-0.01
3/1/2021,0.07,-0.01
4/1/2021,0.07,0.00
5/1/2021,0.06,-0.01
6/1/2021,0.08,0.02
7/1/2021,0.10,0.02
8/1/2021,0.09,-0.01
9/1/2021,0.08,-0.01
10/1/2021,0.08,0.00
11/1/2021,0.08,0.00
12/1/2021,0.08,0.00
1/1/2022,0.08,0.00
2/1/2022,0.08,0.00
3/1/2022,0.20,0.12
4/1/2022,0.33,0.13
5/1/2022,0.77,0.44
6/1/2022,1.21,0.44
7/1/2022,1.68,0.47
8/1/2022,2.33,0.65
9/1/2022,2.56,0.23
10/1/2022,3.08,0.52
11/1/2022,3.78,0.70
12/1/2022,4.10,0.32
1/1/2023,4.33,0.23
2/1/2023,4.57,0.24
