Record Date,Classification Description,Current Month Receipt or Outlay Amount,Current FYTD Receipt or Outlay Amount,Prior FYTD Receipt or Outlay Amount
1/31/23,Budget Receipts,null,null,null
1/31/23,Individual Income Taxes,2.6229E+11,7.66878E+11,8.24571E+11
1/31/23,Corporation Income Taxes,20827935936,1.26219E+11,1.12248E+11
1/31/23,Social Insurance and Retirement Receipts:,null,null,null
1/31/23,Employment and General Retirement (Off-Budget),1.08259E+11,3.62577E+11,3.34148E+11
1/31/23,Employment and General Retirement (On-Budget),33424559044,1.26322E+11,1.13568E+11
1/31/23,Unemployment Insurance,5967623129,13245141287,19666647413
1/31/23,Other Retirement,515541920.8,2121578865,2084682728
1/31/23,Excise Taxes,5154096614,26115202327,25800429784
1/31/23,Estate and Gift Taxes,2098797787,9133400896,8950819299
1/31/23,Customs Duties,6837686961,28724796202,32359470134
1/31/23,Miscellaneous Receipts,1913128288,11505360227,43534390859
1/31/23,Total Receipts,4.47288E+11,1.47284E+12,1.51693E+12
1/31/23,(On-Budget),3.39029E+11,1.11026E+12,1.18278E+12
1/31/23,(Off-Budget),1.08259E+11,3.62577E+11,3.34148E+11
1/31/23,Budget Outlays,null,null,null
1/31/23,Legislative Branch,825695889.8,2436455315,1951098538
1/31/23,Judicial Branch,723868573.5,2815400945,2891651303
1/31/23,Department of Agriculture,22604231084,95738040118,94943879491
1/31/23,Department of Commerce,869839626.3,3877201111,4578102754
1/31/23,Department of Defense--Military Programs,46254745547,2.50594E+11,2.41443E+11
1/31/23,Department of Education,16161454754,71409848663,53533926619
1/31/23,Department of Energy,2314007228,7948532814,10836037808
1/31/23,Department of Health and Human Services,1.38102E+11,5.05831E+11,5.26973E+11
1/31/23,Department of Homeland Security,6955241770,30272728943,27851591374
1/31/23,Department of Housing and Urban Development,3919344943,18836449473,17239411700
1/31/23,Department of the Interior,1179288983,4839882367,4856970127
1/31/23,Department of Justice,3290380427,13739390144,12378718891
1/31/23,Department of Labor,41723222517,50128548602,18451008357
1/31/23,Department of State,1904168725,10833754628,10717822404
1/31/23,Department of Transportation,6398501912,33360134694,35319200688
1/31/23,Department of the Treasury:,null,null,null
1/31/23,Interest on Treasury Debt Securities (Gross),51078356676,2.61084E+11,1.96139E+11
1/31/23,Other,9074055112,67345341257,1.07558E+11
1/31/23,Department of Veterans Affairs,11872547531,80713496570,82967024630
1/31/23,Corps of Engineers,275272983,2961132708,3032041878
1/31/23,Other Defense Civil Programs,1519941815,18285523907,21137992606
1/31/23,Environmental Protection Agency,691125426.1,3016186583,3195496563
1/31/23,Executive Office of the President,39240831.67,158828120.6,147647816.8
1/31/23,General Services Administration,-398625623.9,-489781022.3,-388419652.3
1/31/23,International Assistance Programs,-262755699.6,9317546703,7362623511
1/31/23,National Aeronautics and Space Administration,1641711806,8474063221,7735254960
1/31/23,National Science Foundation,594770215.1,2564033974,2419772277
1/31/23,Office of Personnel Management,10876323581,40624988981,37774852198
1/31/23,Small Business Administration,208060560,762151339.3,13903217579
1/31/23,Social Security Administration,1.1381E+11,4.41599E+11,4.08659E+11
1/31/23,Independent Agencies,2880923599,13326101760,10829969074
1/31/23,Undistributed Offsetting Receipts:,null,null,null
1/31/23,Interest,-1970103608,-63499474741,-55736627973
1/31/23,Other,-9084748471,-55868768095,-1.34776E+11
1/31/23,Total Outlays,4.86072E+11,1.93304E+12,1.77593E+12
